country,territory1,,ReefAdjacent,OnReef,Total,note
Anguilla,Anguilla,,11445,8240,19685,unit is 1k US dollar
Antigua and Barbuda,Antigua and Barbuda,,42885,23158,66043,unit is 1k US dollar
Aruba,Aruba,,141705,76521,218226,unit is 1k US dollar
Australia,Australia,,473062,1703022,2176084,unit is 1k US dollar
Bahamas,Bahamas,,207928,318130,526058,unit is 1k US dollar
Bahrain,Bahrain,,91210,24627,115837,unit is 1k US dollar
Barbados,Barbados,,110480,69602,180082,unit is 1k US dollar
Belize,Belize,,23502,57109,80611,unit is 1k US dollar
Bermuda,Bermuda,,68812,154827,223639,unit is 1k US dollar
Brazil,Brazil,,562261,50603,612864,unit is 1k US dollar
British Virgin Islands,British Virgin Islands,,61883,133667,195550,unit is 1k US dollar
Brunei,Brunei,,20779,7480,28259,unit is 1k US dollar
Cambodia,Cambodia,,15496,2789,18285,unit is 1k US dollar
Cayman Islands,Cayman Islands,,49209,243585,292794,unit is 1k US dollar
China,China,,1586283,285531,1871814,unit is 1k US dollar
Colombia,Colombia,,95586,51616,147202,unit is 1k US dollar
Cook Islands,Cook Islands,,11108,7998,19106,unit is 1k US dollar
Costa Rica,Costa Rica,,110077,59441,169518,unit is 1k US dollar
Cuba,Cuba,,183955,99335,283290,unit is 1k US dollar
Dominican Republic,Dominican Republic,,376227,135442,511669,unit is 1k US dollar
Ecuador,Ecuador,,23274,35609,58883,unit is 1k US dollar
Egypt,Egypt,,947538,5969490,6917028,unit is 1k US dollar
Fiji,Fiji,,81203,153473,234676,unit is 1k US dollar
French Polynesia,French Polynesia,,41940,71717,113657,unit is 1k US dollar
Grenada,Grenada,,10668,12482,23150,unit is 1k US dollar
Guadeloupe,Guadeloupe,,55499,34964,90463,unit is 1k US dollar
Guam,Guam,,115444,207800,323244,unit is 1k US dollar
Haiti,Haiti,,10487,4719,15206,unit is 1k US dollar
Honduras,Honduras,,63532,383096,446628,unit is 1k US dollar
India,India,,393290,70792,464082,unit is 1k US dollar
Indonesia,Indonesia,,1106233,1991220,3097453,unit is 1k US dollar
Iran,Iran,,13345,0,13345,unit is 1k US dollar
Jamaica,Jamaica,,216484,116902,333386,unit is 1k US dollar
Japan,Japan,,542649,634900,1177549,unit is 1k US dollar
Kenya,Kenya,,58036,26116,84152,unit is 1k US dollar
Kuwait,Kuwait,,76127,41109,117236,unit is 1k US dollar
Madagascar,Madagascar,,26577,23919,50496,unit is 1k US dollar
Malaysia,Malaysia,,410341,738614,1148955,unit is 1k US dollar
Maldives,Maldives,,169574,915699,1085273,unit is 1k US dollar
Martinique,Martinique,,58011,31326,89337,unit is 1k US dollar
Mauritius,Mauritius,,164415,147974,312389,unit is 1k US dollar
Mexico,Mexico,,1657394,1342489,2999883,unit is 1k US dollar
Micronesia,Micronesia,,2481,15627,18108,unit is 1k US dollar
Mozambique,Mozambique,,13070,55286,68356,unit is 1k US dollar
Myanmar,Myanmar,,5568,6013,11581,unit is 1k US dollar
New Caledonia,New Caledonia,,12113,16352,28465,unit is 1k US dollar
Nicaragua,Nicaragua,,6381,4594,10975,unit is 1k US dollar
Northern Mariana Islands,Northern Mariana Islands,,16568,44734,61302,unit is 1k US dollar
Oman,Oman,,143613,77551,221164,unit is 1k US dollar
Palau,Palau,,12672,79831,92503,unit is 1k US dollar
Panama,Panama,,94588,59590,154178,unit is 1k US dollar
Papua New Guinea,Papua New Guinea,,8655,23369,32024,unit is 1k US dollar
Philippines,Philippines,,451187,933957,1385144,unit is 1k US dollar
Puerto Rico,Puerto Rico,,510919,137948,648867,unit is 1k US dollar
Qatar,Qatar,,99143,8923,108066,unit is 1k US dollar
Samoa,Samoa,,8614,3876,12490,unit is 1k US dollar
Saudi Arabia,Saudi Arabia,,135016,133665,268681,unit is 1k US dollar
Seychelles,Seychelles,,38495,34646,73141,unit is 1k US dollar
Solomon Islands,Solomon Islands,,4514,17470,21984,unit is 1k US dollar
Sri Lanka,Sri Lanka,,75570,6801,82371,unit is 1k US dollar
Saint Kitts and Nevis,Saint Kitts and Nevis,,9963,6277,16240,unit is 1k US dollar
Saint Lucia,Saint Lucia,,32892,23682,56574,unit is 1k US dollar
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,,9404,15235,24639,unit is 1k US dollar
Sudan,Sudan,,4051,24429,28480,unit is 1k US dollar
Taiwan,Taiwan,,274102,49338,323440,unit is 1k US dollar
Tanzania,Tanzania,,65867,65209,131076,unit is 1k US dollar
Thailand,Thailand,,1331577,1078577,2410154,unit is 1k US dollar
Tonga,Tonga,,3776,9515,13291,unit is 1k US dollar
Trinidad and Tobago,Trinidad and Tobago,,19131,25827,44958,unit is 1k US dollar
Turks and Caicos Islands,Turks and Caicos Islands,,30027,67560,97587,unit is 1k US dollar
United Arab Emirates,United Arab Emirates,,377673,67981,445654,unit is 1k US dollar
United States_florida,United States,,850614,306221,1156835,unit is 1k US dollar
Hawaii,Hawaii,,680052,550842,1230894,unit is 1k US dollar
Vanuatu,Vanuatu,,20488,29503,49991,unit is 1k US dollar
Venezuela,Venezuela,,183029,98836,281865,unit is 1k US dollar
Vietnam,Vietnam,,116479,20966,137445,unit is 1k US dollar
Virgin Islands of the United States,United States Virgin Islands,,127215,148841,276056,unit is 1k US dollar
United States,Hawaii and Florida,,1530666,857063,2387729,unit is 1k US dollar
