iso3,sovereign_iso3,WTO_name,WTO_status,is_EU,is_overseas_territory,is_permanently_inhabited,development_status,is_WTO,is_SID
AFG,AFG,Afghanistan,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
AGO,AGO,Angola,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
ALB,ALB,Albania,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
AND,AND,Andorra,Observer,FALSE,FALSE,TRUE,,TRUE,FALSE
ARE,ARE,United Arab Emirates,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
ARG,ARG,Argentina,Member,FALSE,FALSE,TRUE,,TRUE,FALSE
ARM,ARM,Armenia,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
ATG,ATG,Antigua and Barbuda,Member,FALSE,FALSE,TRUE,,TRUE,TRUE
AUS,AUS,Australia,Member,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
CXR,AUS,,,FALSE,TRUE,TRUE,,TRUE,FALSE
NFK,AUS,,,FALSE,TRUE,TRUE,,TRUE,FALSE
AUT,AUT,Austria,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
AZE,AZE,Azerbaijan,Observer,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
BDI,BDI,Burundi,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
BEL,BEL,Belgium,Member,TRUE,FALSE,TRUE,Developed,TRUE,FALSE
BEN,BEN,Benin,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
BFA,BFA,Burkina Faso,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
BGD,BGD,Bangladesh,Member,FALSE,FALSE,TRUE,LDC,TRUE,FALSE
BGR,BGR,Bulgaria,Member,TRUE,FALSE,TRUE,,TRUE,FALSE
BHR,BHR,"Bahrain, Kingdom of",Member,FALSE,FALSE,TRUE,,TRUE,TRUE
BHS,BHS,Bahamas,Observer,FALSE,FALSE,TRUE,,TRUE,TRUE
BIH,BIH,Bosnia and Herzegovina,Observer,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
BLR,BLR,Belarus,Observer,FALSE,FALSE,TRUE,Developed,TRUE,FALSE
