cell_id,n_dives,n_spots,prop_dives,n_dives_extrap
4856,1,1,9.862711062016726e-6,417
5083,1,1,9.862711062016726e-6,417
5084,3,2,2.9588133186050183e-5,1251
5087,1,1,9.862711062016726e-6,417
5289,10,5,9.862711062016727e-5,4170
5295,1,1,9.862711062016726e-6,417
5491,3,3,2.9588133186050183e-5,1251
5673,1,1,9.862711062016726e-6,417
5675,1,1,9.862711062016726e-6,417
5676,13,11,1.2821524380621745e-4,5421
5830,1,1,9.862711062016726e-6,417
5957,10,7,9.862711062016727e-5,4170
6207,1,1,9.862711062016726e-6,417
6208,1,1,9.862711062016726e-6,417
6336,1,1,9.862711062016726e-6,417
6426,6,4,5.9176266372100366e-5,2502
6455,2,2,1.9725422124033453e-5,834
6456,2,2,1.9725422124033453e-5,834
6551,1,1,9.862711062016726e-6,417
6552,3,1,2.9588133186050183e-5,1251
6580,7,5,6.90389774341171e-5,2919
6581,48,33,4.734101309768029e-4,20015
6582,2,1,1.9725422124033453e-5,834
6688,2,2,1.9725422124033453e-5,834
6721,3,3,2.9588133186050183e-5,1251
6722,6,4,5.9176266372100366e-5,2502
6723,56,18,5.523118194729368e-4,23350
6862,34,16,3.3533217610856873e-4,14177
6863,3,2,2.9588133186050183e-5,1251
6864,3,2,2.9588133186050183e-5,1251
6865,161,52,0.0015878964809846931,67132
7003,9,5,8.876439955815054e-5,3753
7004,8,7,7.890168849613381e-5,3336
7150,35,21,3.451948871705854e-4,14594
7300,1,1,9.862711062016726e-6,417
7473,7,4,6.90389774341171e-5,2919
7637,1,1,9.862711062016726e-6,417
7644,2,1,1.9725422124033453e-5,834
7645,6,5,5.9176266372100366e-5,2502
7653,1,1,9.862711062016726e-6,417
7838,3,2,2.9588133186050183e-5,1251
7846,15,10,1.479406659302509e-4,6255
7853,1,1,9.862711062016726e-6,417
7854,6,1,5.9176266372100366e-5,2502
7855,2,1,1.9725422124033453e-5,834
7856,16,2,1.5780337699226762e-4,6672
7857,16,8,1.5780337699226762e-4,6672
7858,7,4,6.90389774341171e-5,2919
7863,4,1,3.9450844248066906e-5,1668
8063,11,9,1.08489821682184e-4,4587
8066,646,122,0.006371311346062806,269362
8067,5,3,4.9313555310083636e-5,2085
8068,4,2,3.9450844248066906e-5,1668
8070,2,1,1.9725422124033453e-5,834
8071,4,1,3.9450844248066906e-5,1668
8073,17,8,1.6766608805428437e-4,7088
8074,1,1,9.862711062016726e-6,417
8076,4,4,3.9450844248066906e-5,1668
8077,4,3,3.9450844248066906e-5,1668
8287,19,17,1.8739151017831783e-4,7922
8299,28,14,2.761559097364684e-4,11675
8301,5,5,4.9313555310083636e-5,2085
8302,8,6,7.890168849613381e-5,3336
8303,22,9,2.16979643364368e-4,9173
8304,119,18,0.0011736626163799905,49619
8311,21,5,2.0711693230235126e-4,8756
8527,17,11,1.6766608805428437e-4,7088
8539,37,18,3.649203092946189e-4,15428
8540,42,26,4.142338646047025e-4,17513
8541,12,11,1.1835253274420073e-4,5004
8543,39,33,3.8464573141865234e-4,16262
8544,10,7,9.862711062016727e-5,4170
8552,9,6,8.876439955815054e-5,3753
8765,1,1,9.862711062016726e-6,417
8768,1,1,9.862711062016726e-6,417
8783,6,4,5.9176266372100366e-5,2502
8784,2,1,1.9725422124033453e-5,834
8785,40,29,3.945084424806691e-4,16679
8786,215,60,0.0021204828783335963,89648
8789,6,4,5.9176266372100366e-5,2502
8790,117,38,0.001153937194255957,48785
8791,1,1,9.862711062016726e-6,417
9016,1,1,9.862711062016726e-6,417
9018,1,1,9.862711062016726e-6,417
9020,1,1,9.862711062016726e-6,417
9037,9,3,8.876439955815054e-5,3753
9038,6,4,5.9176266372100366e-5,2502
9041,2,1,1.9725422124033453e-5,834
9265,5,4,4.9313555310083636e-5,2085
9266,7,7,6.90389774341171e-5,2919
9282,1,1,9.862711062016726e-6,417
9283,30,6,2.958813318605018e-4,12509
9288,2,2,1.9725422124033453e-5,834
9508,24,11,2.3670506548840146e-4,10007
9509,21,9,2.0711693230235126e-4,8756
9525,5,3,4.9313555310083636e-5,2085
