row_id,cell_id,ocean,lon,lat,shop_id,business_name,website,has_marine_dive_prices,currency_local,price_local,price_converted,description,n_dives,type,is_liveaboard,includes_full_equipment,includes_food_drink,dive_location,notes,continent,sovereignt,sov_code_a3,country_scraped,country_code_scraped_a3,economy_category,income_grp,type_of_business_new,exchange_rate
1,106115,1,2773089.2153071268,-3739487.2921041218,3005,Protea Banks Shark Diving,http://www.afridive.com/,TRUE,ZAR,825,51.87,1 Dive,NA,Boat Dive,FALSE,F,Unknown,Protea Banks reef,tank and weights included,Africa,South Africa,ZAF,South Africa,ZAF,5. Emerging region: G20,3. Upper middle income,Dive shop,0.06287726
2,106115,1,2773089.2153071268,-3739487.2921041218,3005,Protea Banks Shark Diving,http://www.afridive.com/,TRUE,ZAR,1100,69.16,1 Dive,NA,Boat Dive,FALSE,T,Unknown,Protea Banks reef,NA,Africa,South Africa,ZAF,South Africa,ZAF,5. Emerging region: G20,3. Upper middle income,Dive shop,0.06287726
3,106115,1,2773089.2153071268,-3739487.2921041218,3005,Protea Banks Shark Diving,http://www.afridive.com/,TRUE,ZAR,1850,116.32,1 Dive,1,Boat Dive,FALSE,Unknown,Unknown,Protea Banks reef,shark dive,Africa,South Africa,ZAF,South Africa,ZAF,5. Emerging region: G20,3. Upper middle income,Dive shop,0.06287726
4,73351,1,3931428.290420709,-730917.7844476255,1822,Diving center zanzibar | ocean legacy,https://oceanlegacyzanzibar.com/,TRUE,USD,90,90,1 Dive,NA,Boat Dive,FALSE,F,Unknown,Mnemba,includes snorkeling,Africa,United Republic of Tanzania,TZA,United Republic of Tanzania,TZA,7. Least developed region,5. Low income,Diving center,1
5,73351,1,3931428.290420709,-730917.7844476255,1822,Diving center zanzibar | ocean legacy,https://oceanlegacyzanzibar.com/,TRUE,USD,110,110,2 Dives,NA,Boat Dive,FALSE,F,Unknown,Mnemba,NA,Africa,United Republic of Tanzania,TZA,United Republic of Tanzania,TZA,7. Least developed region,5. Low income,Diving center,1
6,73351,1,3931428.290420709,-730917.7844476255,1822,Diving center zanzibar | ocean legacy,https://oceanlegacyzanzibar.com/,TRUE,USD,45,45,Snorkel,NA,Boat Dive,FALSE,Unknown,Unknown,Mnemba,NA,Africa,United Republic of Tanzania,TZA,United Republic of Tanzania,TZA,7. Least developed region,5. Low income,Diving center,1
7,73351,1,3931428.290420709,-730917.7844476255,1822,Diving center zanzibar | ocean legacy,https://oceanlegacyzanzibar.com/,TRUE,USD,320,320,Open Water (or Level 1),NA,Boat Dive,FALSE,Unknown,Unknown,Mnemba,4 dives included.,Africa,United Republic of Tanzania,TZA,United Republic of Tanzania,TZA,7. Least developed region,5. Low income,Diving center,1
8,73351,1,3931428.290420709,-730917.7844476255,1822,Diving center zanzibar | ocean legacy,https://oceanlegacyzanzibar.com/,TRUE,USD,450,450,Adv. Open Water (or Level 2),NA,Boat Dive,FALSE,Unknown,Unknown,Mnemba,Includes 5 dives.,Africa,United Republic of Tanzania,TZA,United Republic of Tanzania,TZA,7. Least developed region,5. Low income,Diving center,1
9,73351,1,3931428.290420709,-730917.7844476255,1822,Diving center zanzibar | ocean legacy,https://oceanlegacyzanzibar.com/,TRUE,USD,580,580,Rescue (or Level 3),NA,Boat Dive,FALSE,Unknown,Unknown,Mnemba,"First dive in pool, second dive in ocean. Also learn cardio pulmonary resuscitation and first aid.",Africa,United Republic of Tanzania,TZA,United Republic of Tanzania,TZA,7. Least developed region,5. Low income,Diving center,1
10,21506,1,960157.743255254,4456751.842840578,6757,Ras Adar Diving Club,http://rass-adar-diving-centre.e-monsite.com/,TRUE,TND,120,39.45,1 Dive,NA,Boat Dive,FALSE,Unknown,F,NA,NA,Africa,Tunisia,TUN,Tunisia,TUN,6. Developing region,3. Upper middle income,Dive club,0.3287311
11,21506,1,960157.743255254,4456751.842840578,6757,Ras Adar Diving Club,http://rass-adar-diving-centre.e-monsite.com/,TRUE,TND,90,29.59,1 Dive,NA,Shore Dive,FALSE,Unknown,F,NA,NA,Africa,Tunisia,TUN,Tunisia,TUN,6. Developing region,3. Upper middle income,Dive club,0.3287311
12,21506,1,960157.743255254,4456751.842840578,6757,Ras Adar Diving Club,http://rass-adar-diving-centre.e-monsite.com/,TRUE,TND,100,32.87,Adv. Open Water (or Level 2),NA,Unknown,FALSE,Unknown,F,NA,NA,Africa,Tunisia,TUN,Tunisia,TUN,6. Developing region,3. Upper middle income,Dive club,0.3287311
13,32565,1,3298330.550153209,3044493.679504549,13952,Marsa Nakari - Red Sea Diving Safari,http://www.redsea-divingsafari.com/,TRUE,EUR,72,76.2,Discover Scuba (or Intro Dive),NA,Pool Dive,FALSE,T,F,"Marsha Shagra, Marsa Nakari, and Wadi Lahami.","Can choose diving site, same cost. 
Price does not include PADI certification/membership fees",Africa,Egypt,EGY,Egypt,EGY,5. Emerging region: G20,4. Lower middle income,Diving center,1.0583131
14,32565,1,3298330.550153209,3044493.679504549,13952,Marsa Nakari - Red Sea Diving Safari,http://www.redsea-divingsafari.com/,TRUE,EUR,220,232.83,Open Water (or Level 1),NA,Boat Dive,FALSE,T,F,"Marsha Shagra, Marsa Nakari, and Wadi Lahami.","Can choose diving site, same cost. 
Price does not include PADI certification/membership fees",Africa,Egypt,EGY,Egypt,EGY,5. Emerging region: G20,4. Lower middle income,Diving center,1.0583131
15,32565,1,3298330.550153209,3044493.679504549,13952,Marsa Nakari - Red Sea Diving Safari,http://www.redsea-divingsafari.com/,TRUE,EUR,260,275.16,Adv. Open Water (or Level 2),NA,Boat Dive,FALSE,T,F,"Marsha Shagra, Marsa Nakari, and Wadi Lahami.","Can choose diving site, same cost. 
Price does not include PADI certification/membership fees",Africa,Egypt,EGY,Egypt,EGY,5. Emerging region: G20,4. Lower middle income,Diving center,1.0583131
16,32565,1,3298330.550153209,3044493.679504549,13952,Marsa Nakari - Red Sea Diving Safari,http://www.redsea-divingsafari.com/,TRUE,EUR,325,343.95,Rescue (or Level 3),NA,Boat Dive,FALSE,F,F,"Marsha Shagra, Marsa Nakari, and Wadi Lahami.","Can choose diving site, same cost. 
Price does not include PADI certification/membership fees",Africa,Egypt,EGY,Egypt,EGY,5. Emerging region: G20,4. Lower middle income,Diving center,1.0583131
17,32565,1,3298330.550153209,3044493.679504549,13952,Marsa Nakari - Red Sea Diving Safari,http://www.redsea-divingsafari.com/,TRUE,EUR,22,23.28,Snorkel,NA,Boat Dive,FALSE,Unknown,F,"Marsha Shagra, Marsa Nakari, and Satayah Reef",NA,Africa,Egypt,EGY,Egypt,EGY,5. Emerging region: G20,4. Lower middle income,Diving center,1.0583131
18,30856,1,3170308.6161016673,3266025.358463554,13824,MenaDive,http://www.menadive.com/,TRUE,EUR,340,359.83,Open Water (or Level 1),NA,Boat Dive,FALSE,F,F,Safaga,"PADI, SDI, CMAS certification included",Africa,Egypt,EGY,Egypt,EGY,5. Emerging region: G20,4. Lower middle income,Diving center,1.0583131
19,30856,1,3170308.6161016673,3266025.358463554,13824,MenaDive,http://www.menadive.com/,TRUE,EUR,99,104.77,Adv. Open Water (or Level 2),NA,Boat Dive,FALSE,F,F,Safaga,PADI and SDI certification included,Africa,Egypt,EGY,Egypt,EGY,5. Emerging region: G20,4. Lower middle income,Diving center,1.0583131
20,30856,1,3170308.6161016673,3266025.358463554,13824,MenaDive,http://www.menadive.com/,TRUE,EUR,239,252.94,Rescue (or Level 3),NA,Boat Dive,FALSE,F,F,Safaga,PADI and SDI certification included,Africa,Egypt,EGY,Egypt,EGY,5. Emerging region: G20,4. Lower middle income,Diving center,1.0583131
21,30856,1,3170308.6161016673,3266025.358463554,13824,MenaDive,http://www.menadive.com/,TRUE,EUR,55,58.21,2 Dives,NA,Boat Dive,FALSE,F,F,Safaga,includes cylinder and weight belt only,Africa,Egypt,EGY,Egypt,EGY,5. Emerging region: G20,4. Lower middle income,Diving center,1.0583131
22,30856,1,3170308.6161016673,3266025.358463554,13824,MenaDive,http://www.menadive.com/,TRUE,EUR,55,58.21,1 Dive,NA,Shore Dive,FALSE,T,F,Safaga,equipment included,Africa,Egypt,EGY,Egypt,EGY,5. Emerging region: G20,4. Lower middle income,Diving center,1.0583131
23,30856,1,3170308.6161016673,3266025.358463554,13824,MenaDive,http://www.menadive.com/,TRUE,EUR,109,115.36,2 Dives,NA,Boat Dive,FALSE,T,F,Safaga,equipment included,Africa,Egypt,EGY,Egypt,EGY,5. Emerging region: G20,4. Lower middle income,Diving center,1.0583131
24,40922,1,-6151837.114064113,2166485.3919697767,8879,Sea Saba,http://seasaba.com/,TRUE,USD,125,125,Discover Scuba (or Intro Dive),NA,Shore Dive,FALSE,T,F,Saba Marine Park,NA,Americas,Netherlands,NL1,"Bonaire, Sint Eustatius and Saba",BES,2. Developed region: nonG7,1. High income: OECD,Diving center,1
25,40922,1,-6151837.114064113,2166485.3919697767,8879,Sea Saba,http://seasaba.com/,TRUE,USD,330,330,Open Water (or Level 1),NA,Boat Dive,FALSE,T,F,Saba Marine Park,NA,Americas,Netherlands,NL1,"Bonaire, Sint Eustatius and Saba",BES,2. Developed region: nonG7,1. High income: OECD,Diving center,1
26,40922,1,-6151837.114064113,2166485.3919697767,8879,Sea Saba,http://seasaba.com/,TRUE,USD,349,349,Adv. Open Water (or Level 2),NA,Boat Dive,FALSE,T,F,Saba Marine Park,Add on package rate. includes 5 dives,Americas,Netherlands,NL1,"Bonaire, Sint Eustatius and Saba",BES,2. Developed region: nonG7,1. High income: OECD,Diving center,1
27,40922,1,-6151837.114064113,2166485.3919697767,8879,Sea Saba,http://seasaba.com/,TRUE,USD,510,510,Rescue (or Level 3),NA,Boat Dive,FALSE,T,F,Saba Marine Park,includes 2 dives,Americas,Netherlands,NL1,"Bonaire, Sint Eustatius and Saba",BES,2. Developed region: nonG7,1. High income: OECD,Diving center,1
28,47880,1,-6819362.490515261,1497075.7719818524,14797,Curacao-Divers / Deutsche Tauchschule,http://www.curacao-divers.com/,TRUE,USD,76,76,Discover Scuba (or Intro Dive),NA,Shore Dive,FALSE,Unknown,F,Curacao,Contains image of distance from dive site to dive center,Americas,Netherlands,NL1,Curacao,CUW,6. Developing region,2. High income: nonOECD,SCUBA instructor,1
29,47880,1,-6819362.490515261,1497075.7719818524,14797,Curacao-Divers / Deutsche Tauchschule,http://www.curacao-divers.com/,TRUE,USD,433,433,Open Water (or Level 1),NA,Boat Dive,FALSE,Unknown,F,Curacao,Contains image of distance from dive site to dive center,Americas,Netherlands,NL1,Curacao,CUW,6. Developing region,2. High income: nonOECD,SCUBA instructor,1
30,47880,1,-6819362.490515261,1497075.7719818524,14797,Curacao-Divers / Deutsche Tauchschule,http://www.curacao-divers.com/,TRUE,USD,355,355,Adv. Open Water (or Level 2),NA,Boat Dive,FALSE,Unknown,F,Curacao,Contains image of distance from dive site to dive center,Americas,Netherlands,NL1,Curacao,CUW,6. Developing region,2. High income: nonOECD,SCUBA instructor,1
31,47880,1,-6819362.490515261,1497075.7719818524,14797,Curacao-Divers / Deutsche Tauchschule,http://www.curacao-divers.com/,TRUE,USD,375,375,Rescue (or Level 3),NA,Boat Dive,FALSE,Unknown,F,Curacao,Contains image of distance from dive site to dive center,Americas,Netherlands,NL1,Curacao,CUW,6. Developing region,2. High income: nonOECD,SCUBA instructor,1
32,47880,1,-6819362.490515261,1497075.7719818524,14797,Curacao-Divers / Deutsche Tauchschule,http://www.curacao-divers.com/,TRUE,USD,49,49,1 Dive,NA,Shore Dive,FALSE,F,F,Curacao,Contains image of distance from dive site to dive center,Americas,Netherlands,NL1,Curacao,CUW,6. Developing region,2. High income: nonOECD,SCUBA instructor,1
33,47880,1,-6819362.490515261,1497075.7719818524,14797,Curacao-Divers / Deutsche Tauchschule,http://www.curacao-divers.com/,TRUE,USD,89,89,2 Dives,NA,Shore Dive,FALSE,F,F,Curacao,Contains image of distance from dive site to dive center,Americas,Netherlands,NL1,Curacao,CUW,6. Developing region,2. High income: nonOECD,SCUBA instructor,1
34,195757,0,-10493827.755702034,4177267.8817535173,10819,Scuba Steve's Dive Adventures,http://scubastevesdiveadventures.com/,TRUE,USD,599,599,Open Water (or Level 1),NA,Shore Dive,FALSE,F,T,NA,Start sessions in a pool. At the end have 3 boat dives and 1 shore dive,Americas,United States of America,US1,United States of America,USA,1. Developed region: G7,1. High income: OECD,SCUBA instructor,1
35,195757,0,-10493827.755702034,4177267.8817535173,10819,Scuba Steve's Dive Adventures,http://scubastevesdiveadventures.com/,TRUE,USD,399,399,Adv. Open Water (or Level 2),NA,Boat Dive,FALSE,T,T,NA,One boat trip.,Americas,United States of America,US1,United States of America,USA,1. Developed region: G7,1. High income: OECD,SCUBA instructor,1
36,195757,0,-10493827.755702034,4177267.8817535173,10819,Scuba Steve's Dive Adventures,http://scubastevesdiveadventures.com/,TRUE,USD,319,319,Rescue (or Level 3),NA,Unknown,FALSE,T,Unknown,NA,NA,Americas,United States of America,US1,United States of America,USA,1. Developed region: G7,1. High income: OECD,SCUBA instructor,1
37,13745,1,-9578006.278404478,5629351.762171576,10772,Lighthouse Diving Center,http://www.lighthousediving.com/?utm_source=GMBlisting&utm_medium=organic,TRUE,USD,250,250,Adv. Open Water (or Level 2),NA,Unknown,FALSE,F,F,NA,NA,Americas,United States of America,US1,United States of America,USA,1. Developed region: G7,1. High income: OECD,Dive shop,1
38,39917,1,-6302667.137273774,2256330.829423888,16076,St. Thomas Scuba and Snorkel Adventures,http://www.stthomasadventures.com/,TRUE,USD,100,100,Discover Scuba (or Intro Dive),NA,Shore Dive,FALSE,T,F,St. Thomas,NA,Americas,United States of America,US1,US Virgin Islands,VIR,6. Developing region,2. High income: nonOECD,SCUBA tour agency,1
39,39917,1,-6302667.137273774,2256330.829423888,16076,St. Thomas Scuba and Snorkel Adventures,http://www.stthomasadventures.com/,TRUE,USD,85,85,1 Dive,NA,Shore Dive,FALSE,T,F,St. Thomas,NA,Americas,United States of America,US1,US Virgin Islands,VIR,6. Developing region,2. High income: nonOECD,SCUBA tour agency,1
40,39917,1,-6302667.137273774,2256330.829423888,16076,St. Thomas Scuba and Snorkel Adventures,http://www.stthomasadventures.com/,TRUE,USD,185,185,1 Dive,NA,Boat Dive,FALSE,T,T,St. Thomas,NA,Americas,United States of America,US1,US Virgin Islands,VIR,6. Developing region,2. High income: nonOECD,SCUBA tour agency,1
41,39917,1,-6302667.137273774,2256330.829423888,16076,St. Thomas Scuba and Snorkel Adventures,http://www.stthomasadventures.com/,TRUE,USD,149,149,1 Dive,NA,Shore Dive,FALSE,T,F,St. Thomas,NA,Americas,United States of America,US1,US Virgin Islands,VIR,6. Developing region,2. High income: nonOECD,SCUBA tour agency,1
42,39917,1,-6302667.137273774,2256330.829423888,16076,St. Thomas Scuba and Snorkel Adventures,http://www.stthomasadventures.com/,TRUE,USD,159,159,Snorkel,NA,Boat Dive,FALSE,T,T,St. John,NA,Americas,United States of America,US1,US Virgin Islands,VIR,6. Developing region,2. High income: nonOECD,SCUBA tour agency,1
43,39917,1,-6302667.137273774,2256330.829423888,16076,St. Thomas Scuba and Snorkel Adventures,http://www.stthomasadventures.com/,TRUE,USD,129,129,Snorkel,NA,Boat Dive,FALSE,T,T,St. Thomas,NA,Americas,United States of America,US1,US Virgin Islands,VIR,6. Developing region,2. High income: nonOECD,SCUBA tour agency,1
