"","SciName","family","m_index","movement_keyword","mean_pld","sd_pld","n_mean","mean_pld_family","sd_pld_family","n_mean_family","pld"
"1","Acanthurus sohal","Acanthuridae",2,"habitat_reef",NA,NA,NA,57.3303703703704,15.9485440573695,27,57.3303703703704
"2","Naso unicornis","Acanthuridae",2,"habitat_reef",73.9,0,1,57.3303703703704,15.9485440573695,27,73.9
"3","Acipenser transmontanus","Acipenseridae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"4","Albula vulpes","Albulidae",2,"habitat_lagoon",NA,NA,NA,NA,NA,NA,43.0493696758551
"5","Alopias superciliosus","Alopiidae",3,"hms",NA,NA,NA,NA,NA,NA,43.0493696758551
"6","Alopias vulpinus","Alopiidae",3,"hms",NA,NA,NA,NA,NA,NA,43.0493696758551
"7","Ammodytes personatus","Ammodytidae",2,"habitat_coastal",NA,NA,NA,159,NA,1,159
"8","Anarhichas denticulatus","Anarhichadidae",2,"habitat_deep",NA,NA,NA,NA,NA,NA,43.0493696758551
"9","Anarhichas lupus","Anarhichadidae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"10","Anoplopoma fimbria","Anoplopomatidae",3,"deep",NA,NA,NA,NA,NA,NA,43.0493696758551
"11","Aplodactylus punctatus","Aplodactylidae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"12","Argentina silus","Argentinidae",3,"pelagic",NA,NA,NA,NA,NA,NA,43.0493696758551
"13","Argentina sphyraena","Argentinidae",3,"pelagic",NA,NA,NA,NA,NA,NA,43.0493696758551
"14","Glossanodon semifasciatus","Argentinidae",3,"pelagic",NA,NA,NA,NA,NA,NA,43.0493696758551
"15","Bathyraja eatonii","Arhynchobatidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"16","Aristaeomorpha foliacea","Aristeidae",2,"habitat_deep",NA,NA,NA,NA,NA,NA,43.0493696758551
"17","Aristeus antennatus","Aristeidae",2,"habitat_deep",NA,NA,NA,NA,NA,NA,43.0493696758551
"18","Aristeus varidens","Aristeidae",2,"habitat_deep",NA,NA,NA,NA,NA,NA,43.0493696758551
"19","Arripis georgianus","Arripidae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"20","Arripis trutta","Arripidae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"21","Atherina boyeri","Atherinidae",2,"habitat_coastal",NA,NA,NA,83,NA,1,83
"22","Odontesthes regia","Atherinidae",2,"habitat_coastal",NA,NA,NA,83,NA,1,83
"23","Menidia menidia","Atherinopsidae",2,"habitat_coastal",35,0,1,NA,NA,NA,35
"24","Amphichthys cryptocentrus","Batrachoididae",1,"sedentary",NA,NA,NA,NA,NA,NA,43.0493696758551
"25","Ablennes hians","Belonidae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"26","Belone belone","Belonidae",3,"pelagic",NA,NA,NA,NA,NA,NA,43.0493696758551
"27","Tylosurus crocodilus","Belonidae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"28","Beryx decadactylus","Berycidae",2,"habitat_deep",NA,NA,NA,NA,NA,NA,43.0493696758551
"29","Beryx splendens","Berycidae",2,"habitat_deep",NA,NA,NA,NA,NA,NA,43.0493696758551
"30","Centroberyx affinis","Berycidae",2,"habitat_coastal",NA,NA,NA,NA,NA,NA,43.0493696758551
"31","Bothus pantherinus","Bothidae",2,"habitat_benthic",NA,NA,NA,32.55,1.62634559672906,2,32.55
"32","Cottoperca gobio","Bovichtidae",1,"territorial",NA,NA,NA,NA,NA,NA,43.0493696758551
"33","Brama brama","Bramidae",3,"migratory",NA,NA,NA,NA,NA,NA,43.0493696758551
"34","Taractichthys steindachneri","Bramidae",3,"hms",NA,NA,NA,NA,NA,NA,43.0493696758551
"35","Bregmaceros mcclellandi","Bregmacerotidae",3,"pelagic",NA,NA,NA,NA,NA,NA,43.0493696758551
"36","Buccinum undatum","Buccinidae",1,"sedentary",0,0,1,NA,NA,NA,0
"37","Callorhinchus callorynchus","Callorhinchidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"38","Callorhinchus milii","Callorhinchidae",2,"habitat_benthic",NA,NA,NA,NA,NA,NA,43.0493696758551
"39","Cancer borealis","Cancridae",1,"sedentary",NA,NA,NA,NA,NA,NA,43.0493696758551
"40","Cancer irroratus","Cancridae",1,"sedentary",NA,NA,NA,NA,NA,NA,43.0493696758551
"41","Cancer pagurus","Cancridae",1,"sedentary",NA,NA,NA,NA,NA,NA,43.0493696758551
"42","Cancer productus","Cancridae",1,"sedentary",NA,NA,NA,NA,NA,NA,43.0493696758551
"43","Capros aper","Caproidae",2,"habitat_reef",NA,NA,NA,NA,NA,NA,43.0493696758551
"44","Alectis alexandrinus","Carangidae",2,"habitat_coastal",NA,NA,NA,12.72,25.0886827075476,5,12.72
"45","Alepes djedaba","Carangidae",2,"habitat_reef",NA,NA,NA,12.72,25.0886827075476,5,12.72
"46","Atule mate","Carangidae",2,"habitat_reef",NA,NA,NA,12.72,25.0886827075476,5,12.72
"47","Carangoides bajad","Carangidae",2,"habitat_reef",NA,NA,NA,12.72,25.0886827075476,5,12.72
"48","Carangoides fulvoguttatus","Carangidae",2,"habitat_reef",NA,NA,NA,12.72,25.0886827075476,5,12.72
"49","Carangoides malabaricus","Carangidae",2,"habitat_reef",NA,NA,NA,12.72,25.0886827075476,5,12.72
"50","Caranx crysos","Carangidae",2,"habitat_coastal",NA,NA,NA,12.72,25.0886827075476,5,12.72
"51","Caranx hippos","Carangidae",2,"habitat_reef",NA,NA,NA,12.72,25.0886827075476,5,12.72
"52","Caranx ignobilis","Carangidae",2,"habitat_reef",NA,NA,NA,12.72,25.0886827075476,5,12.72
"53","Caranx melampygus","Carangidae",2,"habitat_reef",57.6,0,1,12.72,25.0886827075476,5,57.6
"54","Caranx rhonchus","Carangidae",2,"habitat_coastal",NA,NA,NA,12.72,25.0886827075476,5,12.72
"55","Caranx ruber","Carangidae",2,"habitat_reef",NA,NA,NA,12.72,25.0886827075476,5,12.72
"56","Caranx sexfasciatus","Carangidae",2,"habitat_reef",NA,NA,NA,12.72,25.0886827075476,5,12.72
"57","Chloroscombrus chrysurus","Carangidae",2,"habitat_coastal",NA,NA,NA,12.72,25.0886827075476,5,12.72
"58","Chloroscombrus orqueta","Carangidae",2,"habitat_coastal",NA,NA,NA,12.72,25.0886827075476,5,12.72
"59","Decapterus macrosoma","Carangidae",3,"pelagic",NA,NA,NA,12.72,25.0886827075476,5,12.72
"60","Decapterus maruadsi","Carangidae",3,"pelagic",NA,NA,NA,12.72,25.0886827075476,5,12.72
"61","Decapterus russelli","Carangidae",3,"pelagic",NA,NA,NA,12.72,25.0886827075476,5,12.72
"62","Elagatis bipinnulata","Carangidae",3,"pelagic",NA,NA,NA,12.72,25.0886827075476,5,12.72
"63","Gnathanodon speciosus","Carangidae",2,"habitat_reef",NA,NA,NA,12.72,25.0886827075476,5,12.72
"64","Lichia amia","Carangidae",2,"habitat_coastal",NA,NA,NA,12.72,25.0886827075476,5,12.72
"65","Megalaspis cordyla","Carangidae",3,"pelagic",NA,NA,NA,12.72,25.0886827075476,5,12.72
"66","Naucrates ductor","Carangidae",3,"pelagic",NA,NA,NA,12.72,25.0886827075476,5,12.72
"67","Parastromateus niger","Carangidae",2,"habitat_coastal",NA,NA,NA,12.72,25.0886827075476,5,12.72
"68","Parona signata","Carangidae",2,"habitat_coastal",NA,NA,NA,12.72,25.0886827075476,5,12.72
"69","Pseudocaranx dentex","Carangidae",2,"habitat_coastal",NA,NA,NA,12.72,25.0886827075476,5,12.72
"70","Scomberoides commersonnianus","Carangidae",2,"habitat_reef",NA,NA,NA,12.72,25.0886827075476,5,12.72
"71","Scomberoides lysan","Carangidae",2,"habitat_reef",NA,NA,NA,12.72,25.0886827075476,5,12.72
"72","Scomberoides tol","Carangidae",2,"habitat_reef",NA,NA,NA,12.72,25.0886827075476,5,12.72
"73","Selar crumenophthalmus","Carangidae",3,"pelagic",NA,NA,NA,12.72,25.0886827075476,5,12.72
"74","Selaroides leptolepis","Carangidae",2,"habitat_coastal",NA,NA,NA,12.72,25.0886827075476,5,12.72
"75","Selene dorsalis","Carangidae",2,"habitat_coastal",NA,NA,NA,12.72,25.0886827075476,5,12.72
"76","Selene peruviana","Carangidae",2,"habitat_coastal",NA,NA,NA,12.72,25.0886827075476,5,12.72
"77","Selene setapinnis","Carangidae",2,"habitat_coastal",NA,NA,NA,12.72,25.0886827075476,5,12.72
"78","Seriola dumerili","Carangidae",2,"habitat_reef",NA,NA,NA,12.72,25.0886827075476,5,12.72
"79","Seriola lalandi","Carangidae",2,"habitat_reef",NA,NA,NA,12.72,25.0886827075476,5,12.72
